curdeep:3    curtime: 4.678033333333313ms          pathtime: 2.0678666666678205ms
curdeep:4    curtime: 3.3735999999999913ms          pathtime: 2.526033333333544ms
curdeep:5    curtime: 4.465399999999893ms          pathtime: 3.2088999999965986ms
curdeep:7    curtime: 7.323533333333406ms          pathtime: 6.852933333334477ms
curdeep:8    curtime: 8.067333333333218ms          pathtime: 7.422766666665363ms
curdeep:9    curtime: 9.255433333333466ms          pathtime: 7.868499999998828ms
curdeep:11    curtime: 13.722900000000019ms          pathtime: 13.606433333332765ms
curdeep:12    curtime: 14.787066666666723ms          pathtime: 14.574966666668843ms
curdeep:13    curtime: 16.65046666666683ms          pathtime: 15.581400000000182ms
curdeep:18    curtime: 19.572399999999373ms          pathtime: 19.766466666669658ms
curdeep:22    curtime: 27.485366666666284ms          pathtime: 27.139166666665915ms
curdeep:25    curtime: 28.718633333333326ms          pathtime: 27.34779999999925ms
curdeep:26    curtime: 28.787900000000377ms          pathtime: 30.023033333335054ms
curdeep:27    curtime: 29.252799999999485ms          pathtime: 28.104900000001482ms
curdeep:29    curtime: 29.353000000000407ms          pathtime: 28.743566666666236ms
curdeep:30    curtime: 29.688833333333758ms          pathtime: 31.058866666667956ms
curdeep:31    curtime: 30.545933333333625ms          pathtime: 29.525966666665227ms
curdeep:35    curtime: 30.50523333333217ms          pathtime: 38.56766666666923ms
curdeep:36    curtime: 32.93209999999931ms          pathtime: 36.322066666665854ms
curdeep:38    curtime: 29.589533333332458ms          pathtime: 39.268333333332826ms
curdeep:39    curtime: 33.40359999999881ms          pathtime: 40.695599999999864ms
curdeep:40    curtime: 32.8975000000014ms          pathtime: 41.00349999999935ms
curdeep:42    curtime: 41.25243333333325ms          pathtime: 45.4338666666672ms
curdeep:45    curtime: 39.40419999999941ms          pathtime: 47.85309999999754ms
curdeep:47    curtime: 40.15046666666725ms          pathtime: 50.08133333333262ms
curdeep:48    curtime: 41.08966666666637ms          pathtime: 48.32450000000108ms
curdeep:49    curtime: 41.777033333333215ms          pathtime: 47.465466666668966ms
curdeep:51    curtime: 42.400733333333086ms          pathtime: 48.13866666666703ms
curdeep:52    curtime: 40.57646666666604ms          pathtime: 52.08186666666658ms
curdeep:53    curtime: 41.424266666666654ms          pathtime: 51.82306666666818ms
curdeep:56    curtime: 47.086033333332956ms          pathtime: 60.15429999999924ms
curdeep:60    curtime: 47.494500000001004ms          pathtime: 62.023400000002006ms
curdeep:61    curtime: 47.141366666666805ms          pathtime: 59.999599999999496ms
curdeep:62    curtime: 46.853600000000974ms          pathtime: 59.16996666666895ms
curdeep:64    curtime: 48.436166666666246ms          pathtime: 60.12863333333295ms
curdeep:65    curtime: 45.90869999999919ms          pathtime: 59.30286666666689ms
curdeep:66    curtime: 45.98699999999857ms          pathtime: 60.88443333333468ms
curdeep:68    curtime: 47.84410000000131ms          pathtime: 63.70706666666592ms
curdeep:69    curtime: 47.923066666669456ms          pathtime: 63.888133333333975ms
curdeep:70    curtime: 49.2349666666693ms          pathtime: 63.05043333333439ms
curdeep:71    curtime: 52.252133333331585ms          pathtime: 64.5432000000028ms
curdeep:73    curtime: 53.020733333331314ms          pathtime: 65.3552333333361ms
curdeep:74    curtime: 51.85389999999946ms          pathtime: 66.4335000000013ms
curdeep:75    curtime: 50.424466666667435ms          pathtime: 64.55406666666477ms
curdeep:77    curtime: 55.307766666665735ms          pathtime: 64.76116666666864ms
curdeep:78    curtime: 52.27206666666765ms          pathtime: 65.52796666666912ms
curdeep:79    curtime: 53.5713666666652ms          pathtime: 66.16080000000011ms
curdeep:81    curtime: 53.18843333333234ms          pathtime: 66.44600000000007ms
curdeep:82    curtime: 54.68493333333223ms          pathtime: 66.63043333333387ms
curdeep:83    curtime: 55.36533333333106ms          pathtime: 67.60896666666743ms
curdeep:85    curtime: 55.661266666667565ms          pathtime: 66.61819999999732ms
curdeep:86    curtime: 56.15569999999934ms          pathtime: 66.42650000000003ms
curdeep:87    curtime: 55.18529999999752ms          pathtime: 66.09690000000228ms
curdeep:90    curtime: 54.13303333333109ms          pathtime: 73.56736666666468ms
curdeep:91    curtime: 55.77973333333451ms          pathtime: 72.96246666666472ms
curdeep:92    curtime: 54.36039999999972ms          pathtime: 72.98816666666805ms
curdeep:94    curtime: 54.08276666666628ms          pathtime: 75.60656666666621ms
curdeep:95    curtime: 54.148900000003174ms          pathtime: 74.63983333333317ms
curdeep:96    curtime: 56.87503333333552ms          pathtime: 73.73019999999997ms
curdeep:98    curtime: 62.352533333330484ms          pathtime: 74.31640000000168ms
curdeep:99    curtime: 57.850966666664284ms          pathtime: 74.62849999999814ms
curdeep:100    curtime: 58.37486666666791ms          pathtime: 74.94429999999663ms
curdeep:102    curtime: 62.16023333333472ms          pathtime: 76.8146999999999ms
curdeep:103    curtime: 57.95193333333373ms          pathtime: 74.08230000000155ms
curdeep:104    curtime: 57.83323333333404ms          pathtime: 76.9362666666666ms
curdeep:106    curtime: 56.110066666667535ms          pathtime: 75.7598666666695ms
curdeep:107    curtime: 61.79096666666813ms          pathtime: 77.90206666666488ms
curdeep:108    curtime: 58.46853333333305ms          pathtime: 74.83043333333323ms
curdeep:110    curtime: 66.45363333333307ms          pathtime: 81.3444000000004ms
curdeep:111    curtime: 65.10569999999991ms          pathtime: 84.4963666666672ms
curdeep:112    curtime: 64.79503333333317ms          pathtime: 81.89083333333353ms
curdeep:113    curtime: 65.47603333333427ms          pathtime: 84.90130000000136ms
curdeep:115    curtime: 66.41766666666626ms          pathtime: 85.68820000000035ms
curdeep:116    curtime: 67.4158666666661ms          pathtime: 85.28573333333422ms
curdeep:117    curtime: 64.52419999999772ms          pathtime: 84.26546666666657ms
curdeep:119    curtime: 66.04683333333317ms          pathtime: 85.1067999999979ms
curdeep:120    curtime: 66.62893333333007ms          pathtime: 84.983466666669ms
curdeep:123    curtime: 67.77166666666592ms          pathtime: 87.32926666666572ms
curdeep:124    curtime: 67.15619999999944ms          pathtime: 87.71169999999984ms
curdeep:125    curtime: 66.13910000000185ms          pathtime: 86.06223333333294ms
curdeep:127    curtime: 74.70303333332897ms          pathtime: 88.13363333333275ms
curdeep:128    curtime: 67.89029999999912ms          pathtime: 87.06436666666757ms
curdeep:129    curtime: 68.16280000000461ms          pathtime: 85.88596666666793ms
curdeep:132    curtime: 72.51676666667208ms          pathtime: 95.56543333333327ms
curdeep:133    curtime: 72.73499999999633ms          pathtime: 95.60140000000008ms
curdeep:134    curtime: 70.20026666666581ms          pathtime: 94.85443333333403ms
curdeep:136    curtime: 73.17016666666707ms          pathtime: 95.54496666666712ms
curdeep:137    curtime: 73.40136666666695ms          pathtime: 96.1986999999984ms
curdeep:138    curtime: 77.65323333333829ms          pathtime: 95.29479999999921ms
curdeep:140    curtime: 74.68843333332795ms          pathtime: 97.03826666666752ms
curdeep:142    curtime: 75.41690000000472ms          pathtime: 96.01019999999873ms
curdeep:144    curtime: 73.46973333333153ms          pathtime: 97.41826666666687ms
curdeep:146    curtime: 73.09326666666796ms          pathtime: 99.17529999999981ms
curdeep:148    curtime: 75.11819999999716ms          pathtime: 98.5652666666681ms
curdeep:149    curtime: 70.0869999999971ms          pathtime: 98.11770000000024ms
curdeep:150    curtime: 71.50330000000243ms          pathtime: 99.97433333333372ms
curdeep:152    curtime: 81.88666666666602ms          pathtime: 105.7217666666664ms
curdeep:153    curtime: 81.16329999999532ms          pathtime: 105.42950000000057ms
curdeep:154    curtime: 81.8348999999974ms          pathtime: 106.13773333333445ms
curdeep:155    curtime: 81.1384333333308ms          pathtime: 106.11946666666654ms
curdeep:157    curtime: 83.90920000000126ms          pathtime: 106.98756666666706ms
curdeep:158    curtime: 81.01396666666763ms          pathtime: 107.11426666666739ms
curdeep:159    curtime: 85.7985000000023ms          pathtime: 106.50309999999952ms
curdeep:161    curtime: 86.03226666666615ms          pathtime: 108.44546666666588ms
curdeep:162    curtime: 83.55070000000069ms          pathtime: 108.57949999999998ms
curdeep:163    curtime: 82.89736666666461ms          pathtime: 107.97410000000127ms
curdeep:165    curtime: 81.76886666666785ms          pathtime: 109.71566666666679ms
