curdeep:3    curtime: 4.247433333333343ms          pathtime: 2.0044999999981883ms
curdeep:4    curtime: 8.8988333333333ms          pathtime: 2.6726666666680408ms
curdeep:5    curtime: 10.269399999999962ms          pathtime: 3.234866666665918ms
curdeep:7    curtime: 9.844666666667004ms          pathtime: 6.897666666668556ms
curdeep:8    curtime: 10.779966666666496ms          pathtime: 7.443699999998898ms
curdeep:9    curtime: 11.239833333333138ms          pathtime: 7.980899999999262ms
curdeep:11    curtime: 17.646366666665852ms          pathtime: 13.890366666665463ms
curdeep:12    curtime: 19.827300000000037ms          pathtime: 14.880599999999808ms
curdeep:13    curtime: 20.433066666666377ms          pathtime: 15.798499999997754ms
curdeep:16    curtime: 26.526066666666754ms          pathtime: 18.703566666666422ms
curdeep:21    curtime: 21.165733333332543ms          pathtime: 28.690000000002176ms
curdeep:22    curtime: 21.48963333333332ms          pathtime: 32.001900000000205ms
curdeep:25    curtime: 22.333666666666357ms          pathtime: 28.499966666663568ms
curdeep:29    curtime: 15.66676666666543ms          pathtime: 29.39413333333505ms
curdeep:30    curtime: 16.203166666667812ms          pathtime: 29.702433333333527ms
curdeep:31    curtime: 16.663966666665903ms          pathtime: 31.59733333333179ms
curdeep:33    curtime: 17.129099999999653ms          pathtime: 34.61093333333262ms
curdeep:34    curtime: 17.445733333333163ms          pathtime: 30.648166666666537ms
curdeep:35    curtime: 17.170133333331705ms          pathtime: 33.14390000000079ms
curdeep:37    curtime: 31.9263666666681ms          pathtime: 38.16199999999981ms
curdeep:39    curtime: 22.791133333331953ms          pathtime: 41.0269666666674ms
curdeep:43    curtime: 40.53296666666787ms          pathtime: 46.511066666668434ms
curdeep:45    curtime: 29.37816666666701ms          pathtime: 55.04880000000109ms
curdeep:47    curtime: 25.137500000001484ms          pathtime: 51.03356666666438ms
curdeep:49    curtime: 48.387133333333544ms          pathtime: 57.32843333333145ms
curdeep:51    curtime: 33.94660000000158ms          pathtime: 61.18726666666513ms
curdeep:52    curtime: 35.09026666666841ms          pathtime: 60.72739999999991ms
curdeep:54    curtime: 40.734533333333424ms          pathtime: 65.56940000000016ms
curdeep:56    curtime: 41.874866666667764ms          pathtime: 68.37973333333214ms
curdeep:58    curtime: 38.01023333333357ms          pathtime: 67.95643333333221ms
curdeep:60    curtime: 53.57440000000224ms          pathtime: 75.54613333333388ms
curdeep:62    curtime: 46.84420000000197ms          pathtime: 75.19240000000309ms
curdeep:64    curtime: 42.74283333333339ms          pathtime: 75.55953333333416ms
curdeep:66    curtime: 63.33050000000261ms          pathtime: 83.93866666666554ms
curdeep:67    curtime: 52.50290000000177ms          pathtime: 84.42443333333358ms
curdeep:68    curtime: 52.06260000000308ms          pathtime: 85.35346666666707ms
curdeep:71    curtime: 53.75046666666776ms          pathtime: 85.01883333333353ms
curdeep:72    curtime: 51.67226666666996ms          pathtime: 84.9675333333342ms
curdeep:73    curtime: 53.3126333333333ms          pathtime: 85.8350666666676ms
curdeep:75    curtime: 52.11563333333137ms          pathtime: 85.41773333333443ms
curdeep:76    curtime: 53.48130000000234ms          pathtime: 86.70593333333348ms
curdeep:77    curtime: 51.89433333333303ms          pathtime: 86.31129999999985ms
curdeep:79    curtime: 53.36700000000292ms          pathtime: 87.2868333333334ms
curdeep:80    curtime: 54.92150000000038ms          pathtime: 86.17276666666764ms
curdeep:81    curtime: 54.48623333333368ms          pathtime: 86.5338333333322ms
curdeep:83    curtime: 53.2526999999997ms          pathtime: 86.87473333333553ms
curdeep:84    curtime: 52.22196666666529ms          pathtime: 86.89243333333252ms
curdeep:85    curtime: 52.975833333334776ms          pathtime: 87.43943333333466ms
curdeep:87    curtime: 69.53340000000026ms          pathtime: 94.19633333333384ms
curdeep:88    curtime: 65.39553333333288ms          pathtime: 94.55266666666564ms
curdeep:89    curtime: 63.07136666666793ms          pathtime: 95.08893333333315ms
curdeep:92    curtime: 57.5238000000013ms          pathtime: 96.13176666666732ms
curdeep:93    curtime: 58.43813333333401ms          pathtime: 94.91913333333362ms
curdeep:94    curtime: 72.0811666666691ms          pathtime: 95.71166666666689ms
curdeep:96    curtime: 60.449033333331194ms          pathtime: 96.91529999999868ms
curdeep:97    curtime: 62.6372999999982ms          pathtime: 96.81313333333416ms
curdeep:98    curtime: 61.11310000000382ms          pathtime: 96.58680000000004ms
curdeep:100    curtime: 63.77096666666754ms          pathtime: 97.73683333333452ms
curdeep:101    curtime: 59.11773333333107ms          pathtime: 97.50173333333312ms
curdeep:102    curtime: 60.71483333333466ms          pathtime: 98.32623333333383ms
curdeep:104    curtime: 61.41099999999824ms          pathtime: 97.63933333333436ms
curdeep:105    curtime: 59.5141333333307ms          pathtime: 93.77300000000066ms
curdeep:106    curtime: 63.003133333336336ms          pathtime: 99.0225333333323ms
curdeep:108    curtime: 80.8381000000054ms          pathtime: 104.83500000000087ms
curdeep:110    curtime: 65.44279999999769ms          pathtime: 106.39443333333247ms
curdeep:111    curtime: 65.66940000000159ms          pathtime: 106.0118333333321ms
curdeep:113    curtime: 66.62903333333361ms          pathtime: 107.4670666666653ms
curdeep:115    curtime: 66.66613333333468ms          pathtime: 107.4467666666654ms
curdeep:117    curtime: 71.48603333333388ms          pathtime: 107.99609999999878ms
curdeep:118    curtime: 68.09773333333548ms          pathtime: 108.66586666666649ms
curdeep:121    curtime: 76.88186666666752ms          pathtime: 108.31279999999879ms
curdeep:122    curtime: 69.41176666666706ms          pathtime: 108.61750000000067ms
curdeep:123    curtime: 78.45486666666754ms          pathtime: 108.59943333333224ms
curdeep:125    curtime: 69.69493333333503ms          pathtime: 109.42643333333233ms
curdeep:126    curtime: 69.05913333333349ms          pathtime: 109.15306666666804ms
curdeep:127    curtime: 72.9193333333266ms          pathtime: 109.3734333333335ms
curdeep:128    curtime: 77.487400000003ms          pathtime: 109.21453333333393ms
curdeep:130    curtime: 73.9440666666648ms          pathtime: 110.18870000000048ms
curdeep:131    curtime: 75.55916666666842ms          pathtime: 110.46063333333412ms
curdeep:132    curtime: 69.52230000000175ms          pathtime: 110.67260000000091ms
curdeep:134    curtime: 75.57009999999688ms          pathtime: 110.42873333333412ms
curdeep:135    curtime: 72.00430000000324ms          pathtime: 111.25553333333282ms
curdeep:136    curtime: 73.33863333333284ms          pathtime: 110.7874ms
curdeep:138    curtime: 72.04383333333529ms          pathtime: 110.67583333333366ms
curdeep:139    curtime: 80.70726666666512ms          pathtime: 114.2515000000003ms
curdeep:140    curtime: 74.74620000000414ms          pathtime: 114.87573333333312ms
curdeep:141    curtime: 74.85423333333377ms          pathtime: 115.13266666666671ms
curdeep:142    curtime: 75.4192666666692ms          pathtime: 114.99663333333292ms
curdeep:144    curtime: 76.56766666666499ms          pathtime: 107.42970000000014ms
curdeep:145    curtime: 75.88546666666691ms          pathtime: 115.22426666666661ms
curdeep:148    curtime: 75.26280000000345ms          pathtime: 115.16589999999998ms
curdeep:149    curtime: 89.48246666666364ms          pathtime: 111.6322333333334ms
curdeep:151    curtime: 84.76386666667015ms          pathtime: 111.23146666666676ms
curdeep:152    curtime: 79.91233333333791ms          pathtime: 110.30200000000008ms
curdeep:153    curtime: 86.03319999999712ms          pathtime: 108.97073333333319ms
curdeep:154    curtime: 78.2901000000038ms          pathtime: 110.04749999999983ms
curdeep:155    curtime: 77.60790000000573ms          pathtime: 110.4122333333334ms
