curdeep:3    curtime: 1.4643999999999362ms          pathtime: 1.1357666666678294ms
curdeep:4    curtime: 2.036533333333068ms          pathtime: 1.5566666666700257ms
curdeep:7    curtime: 2.6025666666669167ms          pathtime: 2.2542666666671116ms
curdeep:9    curtime: 3.0490666666665334ms          pathtime: 2.1937666666644873ms
curdeep:12    curtime: 3.1534666666663234ms          pathtime: 2.4750333333334615ms
curdeep:14    curtime: 4.612200000000162ms          pathtime: 3.8533999999951143ms
curdeep:15    curtime: 4.615266666666192ms          pathtime: 4.102200000003601ms
curdeep:18    curtime: 4.951966666666863ms          pathtime: 4.725099999996019ms
curdeep:20    curtime: 5.300033333333924ms          pathtime: 4.533666666664733ms
curdeep:25    curtime: 7.029499999999682ms          pathtime: 7.064900000000307ms
curdeep:31    curtime: 8.91433333333301ms          pathtime: 8.538766666667167ms
curdeep:37    curtime: 9.571233333333376ms          pathtime: 10.107799999999164ms
curdeep:38    curtime: 8.864200000001196ms          pathtime: 10.218233333330318ms
curdeep:43    curtime: 9.617800000000898ms          pathtime: 10.703600000003158ms
curdeep:46    curtime: 10.000766666667005ms          pathtime: 11.2169999999954ms
curdeep:48    curtime: 11.364999999998796ms          pathtime: 12.84333333333052ms
curdeep:49    curtime: 11.339066666666517ms          pathtime: 12.35226666666828ms
curdeep:50    curtime: 12.311633333333324ms          pathtime: 12.687466666670844ms
curdeep:52    curtime: 12.007666666666713ms          pathtime: 13.253866666665695ms
curdeep:55    curtime: 12.75669999999991ms          pathtime: 13.899199999999231ms
curdeep:62    curtime: 12.481500000001233ms          pathtime: 14.770033333335656ms
curdeep:63    curtime: 13.1432666666664ms          pathtime: 13.954266666663292ms
curdeep:65    curtime: 14.432633333334858ms          pathtime: 15.0868333333392ms
curdeep:66    curtime: 13.434200000000374ms          pathtime: 15.161133333337299ms
curdeep:67    curtime: 12.840500000000551ms          pathtime: 14.874999999998787ms
curdeep:69    curtime: 13.069633333333286ms          pathtime: 14.581266666664305ms
curdeep:72    curtime: 16.10736666666715ms          pathtime: 14.502900000002228ms
curdeep:74    curtime: 13.945266666667067ms          pathtime: 15.401800000002671ms
curdeep:75    curtime: 13.04610000000063ms          pathtime: 15.323966666665001ms
curdeep:78    curtime: 13.25133333333118ms          pathtime: 14.838899999995192ms
curdeep:80    curtime: 13.746033333336527ms          pathtime: 15.194133333337353ms
curdeep:82    curtime: 13.480199999999817ms          pathtime: 15.347666666669587ms
curdeep:83    curtime: 14.227866666666008ms          pathtime: 15.000166666671552ms
curdeep:84    curtime: 15.133733333334476ms          pathtime: 15.453466666667737ms
curdeep:86    curtime: 20.374566666665334ms          pathtime: 17.483899999994417ms
curdeep:88    curtime: 16.318633333332855ms          pathtime: 18.11569999999847ms
curdeep:89    curtime: 16.11769999999903ms          pathtime: 17.854899999997542ms
curdeep:94    curtime: 20.136666666667224ms          pathtime: 18.467699999996512ms
curdeep:96    curtime: 17.291099999999915ms          pathtime: 18.754966666665496ms
curdeep:97    curtime: 17.76230000000017ms          pathtime: 18.068266666667416ms
curdeep:98    curtime: 17.979033333335792ms          pathtime: 18.5782999999977ms
curdeep:100    curtime: 26.272466666663757ms          pathtime: 20.62186666667003ms
curdeep:103    curtime: 21.909166666667563ms          pathtime: 22.68746666666175ms
curdeep:106    curtime: 20.145899999999983ms          pathtime: 22.439799999998893ms
curdeep:108    curtime: 22.424199999996592ms          pathtime: 22.455566666667437ms
curdeep:111    curtime: 20.895566666668703ms          pathtime: 22.57279999999658ms
curdeep:113    curtime: 22.680833333333794ms          pathtime: 24.438199999993532ms
curdeep:114    curtime: 23.64873333333435ms          pathtime: 26.238166666666984ms
curdeep:115    curtime: 24.03196666666645ms          pathtime: 25.651433333329503ms
curdeep:118    curtime: 23.534766666667412ms          pathtime: 26.011300000004667ms
curdeep:120    curtime: 23.730599999998958ms          pathtime: 26.24983333333451ms
curdeep:122    curtime: 22.73653333333338ms          pathtime: 24.29856666666789ms
curdeep:123    curtime: 23.667333333332863ms          pathtime: 26.115666666669313ms
curdeep:124    curtime: 23.741633333330963ms          pathtime: 26.149566666663304ms
curdeep:126    curtime: 25.498866666669073ms          pathtime: 27.375999999996264ms
curdeep:127    curtime: 26.216133333332436ms          pathtime: 27.522533333331012ms
curdeep:128    curtime: 24.71486666666654ms          pathtime: 27.00693333332917ms
curdeep:131    curtime: 24.480000000001684ms          pathtime: 27.10616666666586ms
curdeep:133    curtime: 25.021466666669312ms          pathtime: 27.626633333333455ms
curdeep:136    curtime: 26.53406666666645ms          pathtime: 28.19559999999986ms
curdeep:137    curtime: 28.53659999999915ms          pathtime: 27.72256666666711ms
curdeep:139    curtime: 26.04866666666794ms          pathtime: 28.10913333333171ms
curdeep:140    curtime: 27.182166666667246ms          pathtime: 28.060066666667655ms
curdeep:141    curtime: 25.11056666667173ms          pathtime: 28.03000000000111ms
curdeep:143    curtime: 24.832133333332724ms          pathtime: 28.200566666665356ms
curdeep:145    curtime: 27.355399999995218ms          pathtime: 28.310400000001817ms
curdeep:146    curtime: 25.31413333333603ms          pathtime: 28.028233333331325ms
curdeep:147    curtime: 26.676133333330654ms          pathtime: 28.044233333332613ms
curdeep:149    curtime: 25.98206666666556ms          pathtime: 28.041766666664596ms
curdeep:150    curtime: 26.781533333329815ms          pathtime: 28.071766666668434ms
curdeep:151    curtime: 25.653566666672607ms          pathtime: 28.253166666668978ms
curdeep:153    curtime: 25.505666666663274ms          pathtime: 27.504533333330983ms
curdeep:155    curtime: 27.369100000002316ms          pathtime: 27.608566666663137ms
curdeep:156    curtime: 26.305933333333087ms          pathtime: 27.586766666665124ms
curdeep:157    curtime: 26.338000000002165ms          pathtime: 27.865300000000087ms
curdeep:159    curtime: 26.899666666668054ms          pathtime: 28.141100000001035ms
curdeep:160    curtime: 29.41166666666959ms          pathtime: 27.76803333333267ms
curdeep:161    curtime: 26.05110000000271ms          pathtime: 28.47636666666631ms
curdeep:163    curtime: 25.42189999999967ms          pathtime: 28.78376666666706ms
curdeep:164    curtime: 29.7792999999956ms          pathtime: 28.79479999999906ms
curdeep:165    curtime: 27.10819999999785ms          pathtime: 28.75663333333402ms
curdeep:167    curtime: 25.777499999996206ms          pathtime: 28.226900000000416ms
curdeep:170    curtime: 28.798533333338128ms          pathtime: 28.554466666666183ms
curdeep:172    curtime: 38.51509999999507ms          pathtime: 30.863066666665873ms
curdeep:173    curtime: 31.347433333333658ms          pathtime: 31.020966666665117ms
curdeep:174    curtime: 28.495833333333092ms          pathtime: 30.901433333330413ms
curdeep:175    curtime: 29.237333333329236ms          pathtime: 30.965799999997518ms
curdeep:177    curtime: 30.596866666671ms          pathtime: 30.634733333333013ms
curdeep:180    curtime: 32.452633333339996ms          pathtime: 30.952500000000782ms
curdeep:182    curtime: 28.89509999999973ms          pathtime: 31.37179999999944ms
